Credit_Score,Income,Employment_Status,Assets,Loan_Amount,Loan_Term
302,7400000, Yes,5600000,18200000,14
502,7100000, No,7300000,19700000,8
879,7300000, Yes,19500000,22100000,18
437,8400000, No,15400000,23400000,14
797,3300000, Yes,600000,10800000,12
456,5800000, Yes,16100000,23200000,18
647,600000, No,1500000,1600000,6
379,7200000, No,12700000,15800000,12
717,9100000, Yes,2200000,32900000,2
545,900000, No,100000,2300000,16
317,800000, No,300000,3200000,8
570,8500000, No,5100000,32900000,10
865,9000000, Yes,26800000,18700000,18
719,7000000, No,12200000,19500000,14
821,200000, No,400000,600000,16
859,400000, Yes,900000,800000,10
395,5100000, No,100000,18200000,10
429,700000, Yes,1600000,2600000,12
861,400000, No,200000,1200000,12
565,9500000, Yes,15100000,20800000,14
357,8800000, No,7900000,22600000,10
465,1800000, Yes,600000,3600000,18
479,6800000, Yes,11700000,13900000,8
717,1500000, No,2100000,5500000,16
425,1600000, No,600000,5500000,12
786,4600000, No,200000,16700000,2
382,2200000, Yes,4400000,6700000,6
564,2900000, Yes,1000000,8500000,12
501,200000, No,500000,700000,8
727,2500000, Yes,6600000,9400000,10
894,3600000, No,1100000,7500000,6
829,5500000, Yes,5500000,16700000,18
506,6600000, No,2600000,17400000,20
802,8600000, Yes,9400000,32100000,6
543,600000, No,300000,1500000,14
772,1400000, Yes,2400000,3200000,20
572,4000000, No,9700000,11100000,12
709,4900000, Yes,14600000,11900000,16
402,2000000, No,4000000,6200000,18
481,5200000, Yes,14300000,19300000,8
772,8900000, Yes,13600000,28800000,6
306,6500000, Yes,15900000,20600000,2
415,1300000, No,0,4500000,6
548,9400000, No,18200000,35000000,16
701,5000000, No,9100000,11200000,8
890,3000000, No,4700000,7700000,12
364,9900000, Yes,5300000,33300000,6
704,700000, Yes,1600000,1300000,20
318,4000000, Yes,1500000,10600000,10
761,3100000, No,5800000,9600000,2
693,4500000, No,3700000,15100000,6
524,9700000, No,24200000,20600000,16
681,2000000, Yes,4900000,5300000,10
737,8100000, Yes,22300000,22300000,18
638,5700000, No,100000,15900000,16
656,5800000, No,500000,12800000,2
540,1800000, No,2500000,6500000,6
341,9100000, Yes,1000000,35200000,6
371,4800000, Yes,11700000,17500000,2
886,3800000, Yes,4000000,10500000,12
801,1900000, No,400000,4100000,18
748,3600000, Yes,7700000,9500000,16
376,7400000, Yes,21900000,28200000,8
371,6600000, Yes,10800000,14300000,8
826,1800000, No,4500000,5300000,6
873,9200000, No,4500000,27200000,12
309,2400000, Yes,500000,8600000,8
869,5600000, No,3300000,13300000,20
534,3800000, No,4700000,13900000,12
787,4500000, Yes,9800000,17900000,6
566,900000, Yes,100000,2200000,16
742,2800000, No,4900000,9900000,8
824,7500000, No,12100000,23100000,4
575,1400000, No,3000000,3100000,14
766,3800000, Yes,1900000,10900000,10
888,1700000, Yes,2900000,5000000,10
638,9000000, Yes,16800000,30400000,6
622,7300000, Yes,7100000,23300000,6
458,7400000, No,12600000,19800000,18
327,9000000, No,1700000,28200000,16
612,3000000, No,8800000,6500000,2
682,800000, No,2200000,2900000,8
583,4800000, No,13700000,13200000,2
697,6400000, No,10000000,18300000,8
306,9200000, No,5800000,27100000,12
669,400000, Yes,-100000,1500000,2
816,2800000, No,6300000,6000000,18
455,8500000, Yes,15200000,28900000,20
318,4700000, Yes,11400000,16400000,10
355,9800000, Yes,22000000,21200000,20
389,3800000, Yes,200000,8900000,16
888,500000, No,1500000,1500000,2
352,6900000, Yes,13000000,15600000,6
870,9600000, Yes,300000,30100000,12
827,2900000, No,8300000,6500000,18
768,9800000, No,3400000,20900000,12
707,7100000, No,10300000,15400000,18
355,7700000, Yes,11300000,19100000,10
652,1400000, No,100000,3300000,2
665,7800000, No,14400000,15900000,2
420,1700000, Yes,500000,6000000,18
471,8500000, No,12600000,32700000,18
715,1900000, No,5100000,7500000,20
689,6700000, Yes,0,15200000,10
787,6900000, Yes,11100000,16400000,4
819,2600000, No,3100000,7800000,4
809,9600000, Yes,16100000,21100000,6
744,6800000, Yes,15500000,17000000,2
484,3200000, No,3500000,11300000,6
673,2900000, No,5100000,10400000,6
695,7900000, Yes,13800000,21200000,18
473,3900000, Yes,6400000,12400000,12
491,4600000, Yes,9000000,11000000,2
733,700000, Yes,1200000,1700000,8
434,5200000, No,14100000,15600000,20
777,5900000, Yes,1900000,20600000,10
774,7200000, No,9400000,19100000,4
717,8700000, Yes,25500000,27000000,10
503,1100000, Yes,3000000,3500000,12
598,4000000, Yes,3600000,10900000,14
543,9800000, No,24200000,32400000,2
796,2700000, Yes,700000,6800000,20
386,8800000, Yes,14800000,34600000,8
632,3300000, Yes,8500000,7800000,16
481,6900000, Yes,18700000,23400000,4
770,900000, Yes,700000,3500000,4
667,4100000, Yes,2800000,15500000,6
585,4700000, Yes,1200000,17500000,8
479,3400000, Yes,9200000,11600000,16
851,9600000, No,7400000,22500000,18
378,7000000, Yes,20000000,16200000,6
807,5700000, No,4100000,12900000,18
831,8200000, Yes,22800000,32400000,18
674,2100000, No,2200000,5100000,12
725,8000000, Yes,1900000,28100000,18
600,8000000, No,16500000,29300000,4
536,9400000, Yes,4400000,27000000,10
477,8400000, No,1500000,20600000,10
560,1900000, Yes,1000000,5000000,6
539,4200000, Yes,9500000,16400000,20
852,2600000, No,3700000,9100000,8
853,3700000, No,8300000,8500000,20
729,8800000, No,1700000,30900000,12
546,2100000, No,6000000,4700000,2
489,900000, Yes,800000,2400000,10
869,9800000, Yes,14400000,35400000,6
502,8000000, No,4100000,20000000,2
652,9800000, No,23200000,38800000,8
789,300000, Yes,400000,1100000,8
325,2700000, No,5000000,8100000,4
716,7400000, Yes,4100000,19600000,2
523,9200000, No,25600000,34300000,18
352,9500000, No,24500000,22200000,20
345,3800000, Yes,3300000,14400000,2
649,8300000, No,2500000,19400000,18
666,2800000, Yes,100000,7400000,18
813,8600000, No,11300000,20900000,10
599,5400000, No,5300000,16800000,10
678,4200000, Yes,4700000,9400000,6
513,5200000, No,13400000,12200000,20
870,9400000, No,1100000,27900000,4
483,8800000, No,3200000,20400000,8
308,5900000, Yes,5800000,16700000,16
591,1700000, Yes,4700000,4900000,16
886,7000000, No,14000000,23000000,10
829,1700000, No,0,4000000,6
651,1500000, No,1600000,4900000,12
733,2000000, No,3700000,4700000,18
433,3900000, Yes,9500000,15500000,12
713,900000, Yes,1300000,3600000,14
403,6900000, No,800000,22500000,18
405,2800000, Yes,7800000,7800000,10
516,6800000, Yes,16000000,19900000,10
417,600000, Yes,1700000,1800000,8
468,4700000, No,11300000,14000000,6
672,3000000, Yes,8700000,11800000,10
530,4000000, No,6000000,13900000,6
824,3100000, Yes,3700000,11300000,14
549,7700000, Yes,18100000,25500000,12
450,4300000, Yes,2100000,9300000,10
431,5800000, Yes,13800000,19500000,20
312,3600000, Yes,2300000,10700000,16
320,2900000, Yes,8000000,7600000,8
433,8800000, No,16000000,20200000,4
431,300000, Yes,400000,1000000,10
516,8600000, Yes,9900000,28900000,8
476,3500000, Yes,1100000,12000000,14
560,800000, No,100000,2600000,6
674,8000000, No,14400000,27100000,12
573,9900000, Yes,17200000,38200000,6
331,3300000, No,6300000,6600000,6
633,2000000, Yes,100000,6700000,12
877,4900000, No,1800000,12900000,18
656,9200000, Yes,1400000,23600000,12
782,7500000, No,7400000,18200000,6
531,9000000, No,10400000,29300000,4
455,1400000, No,3000000,4100000,8
452,9600000, No,4200000,19900000,14
474,8400000, No,19600000,33200000,14
483,6400000, No,7800000,24400000,4
481,5900000, No,6900000,16800000,8
859,2200000, Yes,3800000,5100000,20
696,5600000, Yes,9000000,14100000,14
778,9800000, No,16600000,28700000,6
499,4400000, No,1300000,14600000,4
888,2400000, Yes,6400000,4900000,4
674,4400000, No,9600000,10800000,12
802,3700000, No,9800000,13200000,4
540,2300000, Yes,1500000,7800000,8
726,5900000, Yes,17400000,19600000,8
485,6400000, Yes,7300000,23500000,2
612,4900000, Yes,1300000,17100000,6
879,9500000, Yes,3100000,24200000,8
708,5700000, No,3700000,16400000,12
850,2700000, Yes,3500000,5700000,8
516,3900000, Yes,3100000,11300000,12
465,7800000, No,4700000,28800000,12
716,1100000, No,1800000,3200000,20
404,200000, No,0,600000,10
512,4700000, Yes,8400000,10600000,20
441,8200000, Yes,16100000,20600000,10
555,4600000, Yes,7700000,18400000,2
466,1800000, No,2600000,7000000,18
427,3200000, Yes,3900000,8600000,2
593,5500000, Yes,15100000,20000000,14
731,7900000, No,4200000,18300000,10
451,4000000, Yes,7000000,10100000,16
628,6800000, Yes,3600000,16900000,18
704,2700000, No,5300000,9400000,18
341,6800000, No,19300000,23500000,12
465,8600000, No,11700000,21000000,8
431,8000000, No,11900000,30100000,4
424,3700000, Yes,5400000,12600000,10
678,2600000, No,500000,5100000,14
381,4200000, No,9600000,16800000,6
449,8000000, Yes,18500000,28000000,10
768,7100000, No,6400000,23500000,12
666,2000000, No,0,7000000,6
742,5800000, Yes,16100000,13300000,14
445,6700000, Yes,10500000,15800000,4
634,7300000, No,5900000,28700000,14
782,3300000, No,2500000,9700000,14
781,3000000, No,7200000,7000000,10
318,7900000, No,14200000,17200000,14
721,7600000, No,21900000,24100000,18
563,3700000, No,9500000,9800000,4
419,8400000, No,22900000,26300000,4
372,8200000, Yes,3800000,20800000,14
885,2900000, No,4300000,9500000,18
596,9900000, Yes,10000000,38400000,12
349,4400000, No,3300000,14100000,2
468,9000000, Yes,4500000,32200000,16
818,6800000, Yes,14700000,26900000,16
543,8700000, No,16900000,28000000,12
685,9400000, No,8100000,21900000,16
851,6000000, Yes,14600000,12500000,18
377,9400000, Yes,24100000,29800000,10
620,1000000, Yes,2400000,4000000,10
611,900000, Yes,600000,2300000,20
767,2100000, No,1200000,7700000,4
592,1100000, Yes,3200000,3200000,20
319,600000, Yes,1600000,2300000,4
900,9200000, Yes,9400000,25500000,10
814,3600000, Yes,8600000,12800000,18
755,1300000, Yes,2100000,5000000,10
584,7700000, Yes,8600000,16800000,20
380,9500000, Yes,22900000,23500000,14
465,5000000, Yes,6200000,17600000,20
531,500000, No,1300000,1800000,2
814,8300000, Yes,18500000,32100000,16
678,5300000, No,4700000,17900000,6
655,9300000, Yes,7900000,29000000,12
682,2300000, No,6500000,7400000,2
695,400000, No,200000,1300000,6
833,3200000, No,2600000,10800000,4
302,9400000, Yes,4100000,35300000,16
357,2300000, No,5900000,6600000,2
302,4300000, No,12500000,14500000,12
873,6200000, Yes,15700000,22400000,18
658,7200000, Yes,12700000,19800000,12
877,2400000, Yes,2800000,8700000,18
648,2900000, No,3400000,6300000,8
730,1400000, No,2900000,5200000,12
737,2200000, Yes,5800000,8200000,14
584,800000, Yes,0,3200000,10
621,600000, No,400000,1700000,2
583,700000, Yes,1100000,2700000,16
621,8400000, No,8600000,25900000,16
610,7100000, No,5800000,21500000,16
452,5400000, No,13700000,15700000,18
339,3700000, No,9300000,7300000,18
650,5200000, Yes,1300000,15200000,16
672,200000, Yes,200000,700000,10
501,500000, No,800000,1000000,20
809,1800000, Yes,1200000,5700000,4
318,9200000, Yes,18000000,29400000,8
649,900000, No,0,3300000,10
367,7500000, No,9200000,28300000,12
847,3000000, No,8200000,11800000,6
360,7100000, No,10700000,18900000,12
865,3500000, Yes,4100000,7200000,2
880,4900000, No,4200000,18800000,16
608,4100000, No,1400000,8400000,20
760,800000, Yes,300000,2100000,6
385,1700000, Yes,1500000,4600000,12
478,6100000, Yes,3800000,23300000,12
327,2100000, Yes,5000000,7700000,16
663,3100000, No,1300000,9300000,6
693,1700000, Yes,2200000,3500000,20
710,1700000, No,4800000,5400000,6
711,4000000, Yes,2400000,14500000,6
386,5600000, No,11300000,18400000,8
855,3900000, Yes,10200000,11900000,10
573,6100000, Yes,1100000,15300000,14
431,1100000, Yes,500000,2800000,18
364,5500000, No,13000000,14800000,8
711,1100000, Yes,2500000,3600000,14
771,400000, Yes,1000000,900000,20
669,9200000, No,3100000,36400000,18
338,9300000, Yes,21500000,27500000,18
562,1100000, No,2300000,3500000,8
769,5600000, No,8000000,18700000,2
629,6300000, Yes,600000,21500000,8
699,8800000, No,6400000,18100000,6
590,8400000, No,5100000,20800000,20
707,1600000, Yes,3300000,5700000,4
391,4500000, Yes,8500000,11400000,8
891,6500000, No,13600000,18500000,4
731,9500000, Yes,13400000,20600000,2
775,4700000, No,4000000,16700000,12
897,9600000, Yes,3500000,32400000,2
794,8000000, No,8000000,26700000,20
555,7700000, No,12900000,16700000,6
536,3600000, Yes,6800000,10300000,12
839,700000, No,100000,1700000,10
890,1400000, Yes,4100000,5100000,6
415,8600000, Yes,12200000,27900000,20
868,4700000, No,3300000,15700000,4
353,2900000, Yes,8400000,5800000,12
590,9000000, No,4600000,29000000,16
618,500000, Yes,1400000,900000,18
539,700000, Yes,1400000,1700000,10
429,6800000, No,17100000,27000000,4
792,1800000, No,4500000,4700000,8
608,6000000, No,3000000,12400000,2
555,5400000, Yes,4300000,21500000,14
620,8400000, Yes,15300000,17500000,12
635,7400000, No,15600000,20900000,6
457,3200000, No,6100000,12500000,10
350,5400000, Yes,2600000,21400000,8
885,1000000, Yes,2200000,2500000,14
638,4400000, No,4000000,14700000,16
710,3800000, Yes,1800000,10500000,12
470,6100000, Yes,500000,20900000,18
874,5500000, Yes,1000000,17300000,16
411,500000, Yes,1000000,1800000,18
482,300000, Yes,200000,1100000,2
396,6200000, Yes,10600000,16900000,2
436,300000, No,0,900000,20
303,6900000, Yes,13600000,22100000,20
728,3700000, No,4200000,11400000,12
775,8800000, Yes,5200000,28600000,10
402,8200000, Yes,15100000,23500000,12
698,9200000, Yes,5300000,31500000,18
665,2400000, No,5200000,7800000,14
490,4100000, No,4700000,13500000,18
504,8000000, No,23800000,31900000,12
790,3600000, Yes,5400000,8600000,8
669,700000, Yes,100000,2700000,20
381,8300000, No,21700000,30700000,6
900,5300000, Yes,1700000,15000000,2
506,8300000, No,15400000,24900000,16
538,2500000, Yes,4900000,8800000,12
677,5400000, Yes,11000000,14400000,8
685,1600000, No,3200000,4900000,8
860,2400000, No,4900000,6200000,12
608,6300000, No,16100000,14800000,6
540,2500000, Yes,2300000,5300000,10
492,7500000, Yes,21500000,16800000,16
834,2900000, No,1200000,8500000,14
834,1000000, Yes,800000,3500000,16
890,8600000, Yes,23300000,28800000,8
443,300000, No,600000,1100000,12
329,2300000, No,5600000,5700000,18
739,2400000, Yes,300000,5400000,12
867,9800000, Yes,20800000,30300000,6
307,8100000, No,200000,24800000,6
492,6700000, No,2100000,15500000,18
698,8400000, Yes,23000000,24700000,18
851,200000, No,400000,700000,8
375,4700000, No,1300000,12500000,14
601,4300000, Yes,3800000,14300000,14
756,2200000, No,3600000,7000000,20
868,8600000, Yes,20400000,19200000,4
838,2000000, Yes,2500000,7200000,10
375,4200000, Yes,7200000,15900000,14
778,5100000, Yes,3300000,12500000,18
442,4100000, Yes,12200000,11200000,6
808,9900000, Yes,11800000,39500000,12
372,3200000, Yes,2700000,9000000,20
597,5500000, No,1100000,19000000,4
435,7800000, Yes,21100000,29100000,20
728,3400000, Yes,1500000,9700000,20
373,7900000, Yes,10900000,25900000,14
367,8900000, Yes,6100000,18500000,10
552,7300000, No,2000000,19100000,14
465,3300000, Yes,500000,10600000,8
607,2900000, Yes,4400000,10500000,8
427,500000, Yes,1400000,1300000,4
711,7200000, No,10800000,21200000,4
823,8300000, No,5900000,24100000,14
523,8700000, Yes,19300000,20500000,6
328,7100000, Yes,9000000,27900000,10
721,9800000, Yes,15800000,28200000,12
599,6900000, Yes,18100000,17000000,20
580,2400000, No,5900000,5000000,14
744,2100000, Yes,200000,4900000,10
559,7200000, Yes,4200000,23900000,4
587,4600000, No,7700000,13500000,16
817,9900000, Yes,23400000,31800000,18
655,300000, Yes,0,1000000,20
382,6900000, Yes,17100000,23900000,6
765,1700000, Yes,5000000,4300000,6
516,4400000, Yes,7400000,10000000,20
383,4300000, Yes,4700000,15000000,8
633,3700000, No,800000,14100000,6
547,5900000, No,17100000,15200000,2
843,8600000, Yes,23300000,26300000,10
783,3400000, Yes,6500000,13200000,8
790,1000000, Yes,1900000,3200000,14
409,4400000, Yes,12700000,14200000,16
376,3600000, No,9800000,7800000,14
625,1400000, No,3100000,2700000,8
707,5300000, No,12900000,10900000,18
645,9400000, Yes,17400000,20500000,6
887,6600000, Yes,3600000,22100000,6
319,9800000, No,19200000,37600000,18
647,1900000, No,4100000,4900000,20
888,5800000, Yes,11900000,22500000,6
420,3100000, No,6900000,10400000,10
791,6800000, No,4000000,18400000,2
891,4600000, No,5900000,16200000,12
641,200000, Yes,600000,700000,16
319,9500000, Yes,200000,22800000,6
819,6200000, Yes,13500000,22200000,20
387,9700000, Yes,11600000,32300000,18
686,4200000, Yes,10500000,12300000,2
415,5700000, Yes,15700000,12000000,4
885,200000, Yes,-100000,500000,6
722,8000000, No,17200000,25500000,4
761,5200000, No,4700000,20400000,20
389,7100000, Yes,5900000,15200000,8
600,9300000, Yes,2100000,27900000,12
407,2000000, No,1900000,6100000,2
829,3900000, Yes,5200000,14000000,18
895,2800000, No,1000000,5900000,6
441,3000000, Yes,8500000,11100000,12
895,4500000, No,9800000,9800000,16
826,1900000, No,2400000,4300000,4
453,2300000, No,3000000,7200000,8
701,4700000, No,5400000,17500000,2
627,1300000, Yes,100000,2700000,8
543,3100000, No,5900000,11000000,2
411,8400000, No,13200000,17500000,18
583,1700000, Yes,2000000,5800000,4
889,1900000, No,600000,7500000,2
684,2400000, No,3400000,8600000,8
578,6800000, No,500000,20500000,10
445,2900000, No,6600000,10900000,20
369,8900000, Yes,23900000,26300000,10
794,8800000, No,8400000,22200000,18
492,8200000, Yes,16500000,19200000,16
557,3600000, Yes,9800000,13200000,16
519,9500000, Yes,5900000,31800000,6
699,1900000, Yes,5500000,5700000,18
741,9100000, Yes,8000000,24600000,2
508,1100000, No,200000,3800000,18
647,1100000, Yes,2700000,2800000,10
656,9300000, No,17300000,28600000,14
439,3900000, Yes,300000,10600000,2
350,1500000, Yes,2900000,4000000,12
493,800000, No,900000,2200000,6
851,600000, No,100000,1800000,6
492,4400000, No,7900000,12500000,18
861,2700000, Yes,6300000,5400000,6
664,6200000, Yes,18300000,14600000,2
362,700000, Yes,2100000,1300000,16
703,3400000, No,600000,9400000,6
758,4900000, Yes,1700000,16800000,12
396,4200000, Yes,700000,9700000,2
828,5300000, Yes,8100000,10600000,2
709,3700000, Yes,8000000,10000000,20
528,5600000, Yes,14200000,17500000,10
623,4300000, Yes,9800000,16000000,14
599,7100000, Yes,9100000,24500000,14
622,5400000, Yes,11000000,12700000,4
385,6000000, No,16600000,13100000,6
579,4100000, Yes,10900000,12500000,2
846,8300000, No,12700000,17900000,20
449,8100000, No,7100000,23900000,10
666,7200000, No,3600000,24900000,14
380,7200000, No,2300000,17500000,4
589,3500000, Yes,3800000,8100000,4
845,6200000, No,9100000,19500000,12
401,5200000, No,2600000,17300000,10
766,4500000, No,6100000,14500000,2
522,5400000, No,5200000,15100000,12
834,2000000, Yes,2200000,6900000,6
588,8900000, No,19400000,25400000,8
570,5000000, No,11900000,10600000,4
860,4900000, No,13600000,17600000,6
655,5300000, Yes,14200000,19200000,4
457,8500000, Yes,3600000,27700000,4
863,700000, Yes,100000,2100000,14
742,5900000, Yes,10800000,18900000,4
798,3500000, No,7400000,13300000,4
552,7700000, Yes,15600000,18900000,16
418,4500000, Yes,400000,12500000,12
419,9100000, No,7400000,22200000,6
668,9000000, Yes,22100000,29900000,2
608,8900000, No,10800000,29200000,8
342,6500000, No,15300000,13800000,10
817,8100000, Yes,1400000,18000000,8
476,8400000, No,16100000,29900000,16
881,5300000, No,15900000,20000000,6
838,4100000, No,5500000,15600000,12
406,6900000, No,10200000,27400000,4
778,5200000, Yes,5200000,19500000,12
799,2000000, Yes,3600000,7400000,14
716,4600000, No,12600000,17800000,20
756,7100000, Yes,8000000,20100000,16
743,9300000, No,4800000,20100000,10
731,5400000, No,13800000,19400000,20
833,4100000, No,12000000,8500000,2
470,4900000, No,12000000,11400000,8
734,5400000, Yes,7300000,21200000,20
620,3000000, No,7900000,9600000,12
812,6800000, Yes,15200000,14400000,8
459,5100000, Yes,9800000,14000000,12
704,9800000, Yes,7000000,32600000,10
391,1600000, Yes,4300000,4100000,6
421,8000000, No,3100000,29100000,4
796,2900000, No,3800000,6700000,14
607,9200000, No,24000000,30300000,10
376,9500000, No,2300000,20400000,14
424,3700000, Yes,1900000,8500000,8
442,7100000, Yes,2900000,20800000,6
448,5600000, No,6700000,17600000,14
638,1200000, Yes,1500000,2700000,2
710,1600000, No,3100000,5600000,6
641,1600000, Yes,4200000,4800000,20
348,5300000, No,9200000,20200000,10
519,9100000, No,9300000,19900000,20
517,9400000, Yes,10700000,35000000,10
375,5900000, No,6500000,22400000,6
426,1100000, Yes,300000,3400000,10
785,3100000, Yes,3200000,11500000,14
373,2200000, No,4100000,8600000,20
476,6000000, No,13900000,20100000,6
320,2000000, Yes,2400000,5600000,18
657,7200000, No,14600000,22900000,18
868,500000, Yes,200000,1900000,12
345,5800000, Yes,4000000,13900000,6
472,200000, No,400000,300000,6
613,4600000, Yes,5200000,9500000,20
769,4600000, Yes,13100000,12800000,14
741,6500000, No,11400000,23100000,20
889,4400000, Yes,800000,16600000,14
683,900000, Yes,1400000,3600000,10
780,3200000, Yes,4200000,7400000,18
538,600000, No,500000,1100000,8
721,5200000, No,1100000,12600000,10
467,6400000, Yes,15500000,15200000,14
551,1000000, No,1700000,2500000,6
803,6800000, No,11300000,14800000,14
361,3000000, No,7700000,8400000,10
708,8700000, Yes,20600000,30700000,6
766,8800000, Yes,13500000,20900000,18
464,3900000, Yes,9300000,11500000,2
517,1700000, No,100000,4300000,2
747,900000, Yes,1200000,2300000,6
596,7200000, No,8800000,24700000,6
783,9200000, No,25400000,25400000,2
335,5700000, No,7400000,19400000,2
889,1100000, Yes,1900000,2700000,4
874,1100000, Yes,1900000,2200000,4
394,6000000, Yes,6700000,23900000,4
420,8100000, Yes,1500000,28500000,20
848,6500000, Yes,11500000,25100000,20
788,7600000, Yes,1700000,17900000,16
509,2200000, No,3800000,4900000,8
899,6300000, Yes,-100000,23900000,6
466,6700000, Yes,7500000,15800000,12
595,1300000, Yes,1300000,4300000,2
322,2800000, No,1900000,6700000,12
691,7000000, No,6300000,18900000,2
379,8800000, Yes,10100000,26700000,10
531,8900000, No,12400000,25800000,18
631,7000000, No,8100000,21800000,4
330,6900000, Yes,19600000,18600000,10
383,9200000, No,17700000,29200000,16
678,6100000, Yes,13700000,19700000,16
894,4400000, Yes,11400000,14700000,8
567,9900000, No,28300000,22700000,12
708,3900000, No,700000,14000000,4
433,6800000, No,10700000,21200000,2
302,3600000, No,6400000,8700000,14
736,700000, No,2100000,2600000,14
323,4000000, Yes,11200000,8500000,6
670,1800000, No,1900000,4100000,12
609,5600000, No,8800000,21000000,12
349,6800000, No,18800000,24200000,18
319,600000, Yes,100000,1500000,2
391,4200000, No,5800000,16200000,14
755,5000000, No,3600000,18700000,10
354,4100000, No,7300000,12200000,6
877,2200000, Yes,5000000,8800000,2
312,3400000, No,6400000,8600000,16
746,7100000, No,9500000,15900000,14
313,5800000, No,11100000,19600000,16
857,3400000, No,3400000,12900000,14
504,7700000, No,14600000,18300000,20
556,500000, No,900000,1200000,14
393,5300000, Yes,6800000,11000000,14
881,4700000, No,11000000,14400000,14
719,4300000, Yes,5100000,12200000,14
458,900000, Yes,-100000,2500000,16
857,2000000, No,4300000,7500000,14
429,2000000, Yes,5300000,7600000,16
538,4100000, No,3900000,15900000,12
828,6900000, No,4600000,14400000,10
